stop_id,stop_code,stop_name,stop_lat,stop_lon
"06441003398","06441003398","64 y 12",-34.929127,-57.942138
"6441130396","6441130396","AVENIDA 32_CALLE 137",-34.928857,-58.000042
"6441107180","6441107180","AVENIDA 32_CALLE 135",-34.927052,-57.998053
"6441129409","6441129409","CALLE 69_CALLE 6",-34.926525,-57.931108
"6441107329","6441107329","DIAGONAL 74_CALLE 16",-34.926452,-57.954188
"6441128638","6441128638","PLAZA BRIGADIER GENERAL JUAN MANUEL DE ROSAS_AVENI",-34.926437,-57.947110
"6441130194","6441130194","DIAGONAL 73_CALLE 63",-34.920667,-57.934712
"6270102907","6270102907","CONSTANCIO C. VIGIL 501-599",-34.918823,-58.597510
"6441110387","6441110387","AVENIDA 66_CALLE 119",-34.915765,-57.923490
"6648dnj028","6648dnj028","Colectora Av. Yrigoyen y Neuquen",-34.915425,-58.386110
"06441002075","06441002075","Av. 7 y 47",-34.912823,-57.952558
"6441127771","6441127771","DIAGONAL 80_CALLE 47",-34.910705,-57.948687
"6441112736","6441112736","DIAGONAL 6_CALLE 140 BIS",-34.907178,-58.042850
"06441001731","06441001731","Av. 1 y 46",-34.906705,-57.946780
"06270000036","06270000036","Av. N. Kirchner (RP205) y América del Norte",-34.905520,-58.588170
"698128920","698128920","CALLE 7_CALLE 128",-34.905125,-57.917722
"6441128950","6441128950","CALLE 41_CALLE 3",-34.904678,-57.954832
"6441112664","6441112664","CALLE 485_CALLE 138",-34.904335,-58.044510
"6441125747","6441125747","CALLE 511_AVENIDA 25",-34.899625,-58.011027
"6441116113","6441116113","AVENIDA 122_CALLE 46",-34.898303,-57.939072
"628115143","628115143","VICENTE LÓPEZ Y PLANES 99-299",-34.888713,-58.383343
"698110386","698110386","CALLE 145_CALLE 8 LEVERATTO",-34.888682,-57.903533
"6441125750","6441125750","CALLE 516_CALLE 5 BIS",-34.885812,-57.985707
"6441120978","6441120978","CAMINO GENERAL BELGRANO_CALLE 472",-34.881368,-58.054660
"6441117788","6441117788","CAMINO PARQUE CENTENARIO_CALLE 501",-34.880433,-58.010430
"06098002362","06098002362","Av. 4 y 153",-34.880288,-57.899585
"6270102891","6270102891","AVENIDA PATRICIOS 1199-1299",-34.879778,-58.555187
"628110215","628110215","GRAL. BRIG. MANUEL CALDERÓN 99",-34.879373,-58.350155
"628105877","628105877","AVENIDA HIPÓLITO YRIGOYEN 19900-19948",-34.878712,-58.389705
"6441129613","6441129613","CALLE 13_CALLE 489",-34.874243,-58.022312
"06098002402","06098002402","15 y 164",-34.874185,-57.880517
"6441120983","6441120983","CAMINO GENERAL BELGRANO_CALLE 443",-34.873850,-58.086223
"6270107184","6270107184","EL TREBOL 1-11",-34.870540,-58.543387
"698107302","698107302","AVENIDA MONTEVIDEO_CALLE 8",-34.867540,-57.885542
"6441120328","6441120328","CAMINO PARQUE CENTENARIO_CALLE 464",-34.863517,-58.049587
"6441132902","6441132902","CALLE 419_CALLE 25",-34.863398,-58.090655
"06245002186","06245002186","Maipú y Combatientes De Malvinas",-34.861900,-57.920455
"06245002199","06245002199","Pza. Belgrano",-34.857430,-57.908682
"6270102900","6270102900","CONQUISTA DE DESIERTO 115",-34.852488,-58.520337
"6245118825","6245118825","CAMINO COSTANERO ALMIRANTE BROWN_CLUB REGATAS",-34.848610,-57.927287
"06245002170","06245002170","Almirante Brown y 14",-34.837448,-57.942040
"6260128905","6260128905","LEANDRO N. ALEM 1600-1652",-34.831032,-58.456837
"6274117267","6274117267","AVENIDA CALCHAQUÍ 6361-6399",-34.829227,-58.216967
"628110926","628110926","RUTA PROVINCIAL 210 3366",-34.828827,-58.387740
"628132058","628132058","EVA DUARTE DE PERÓN 601-699",-34.824612,-58.400192
"6778dnj075","6778dnj075","LAVALLE Y CABRAL",-35.024830,-58.430690
"6441107299","6441107299","CALLE 146_CALLE 60",-34.957613,-57.982372
"6441130131","6441130131","AVENIDA 60_CALLE 144",-34.955905,-57.979947
"6441112616","6441112616","CALLE 131_CALLE 72",-34.954107,-57.951877
"6441124795","6441124795","CALLE 77_CALLE 27",-34.953650,-57.943650
"6441113060","6441113060","CALLE 12 BIS_CALLE 82",-34.944787,-57.922625
"6441133851","6441133851","AVENIDA 520_CALLE157",-34.937742,-58.034462
"06441001613","06441001613","R.P. 11 y 603",-34.934577,-57.880872
"6441128956","6441128956","CALLE 80_CALLE 3",-34.933460,-57.915515
"6441118406","6441118406","AVENIDA 143_CALLE 528",-34.931668,-58.010483
"6539104084","6539104084","AVENIDA DOCTOR RICARDO BALBÍN 2200-2298",-34.712813,-58.784137
"6119wp0l","6119wp0l","Artigas y Alfonsina Storni",-35.075350,-58.290170
"6119fbhr","6119fbhr","Artigas y Mitre",-35.074080,-58.288500
"6119a5pn","6119a5pn","Avenida San Martín y Juan B. Justo consti",-35.071845,-58.292490
"6441130361","6441130361","AVENIDA 66_185",-34.999258,-58.015220
"6441128502","6441128502","AVENIDA 66_CALLE 159",-34.975013,-57.988433
"6441130127","6441130127","AVENIDA 60_CALLE 157",-34.968058,-57.993343
"6778dnj140","6778dnj140","Av. Yrigoyen y Ranchos",-34.966915,-58.380360
"6441122455","6441122455","CALLE 137_76",-34.962325,-57.955432
"6441119919","6441119919","AVENIDA 7_CALLE 607",-34.955477,-57.896067
"6441129752","6441129752","DIAGONAL 74_CALLE 29",-34.950425,-57.952625
"6441118077","6441118077","CALLE 143_ESQUINA 46",-34.946402,-57.990495
"6441118080","6441118080","AVENIDA 143_CALLE 42",-34.943180,-57.994805
"6441129543","6441129543","AVENIDA 31_CALLE 56.",-34.940295,-57.970282
"6441103807","6441103807","AVENIDA 51_CALLE 28",-34.935083,-57.970702
"6441101386","6441101386","AVENIDA 122_CALLE 92",-34.931105,-57.893978
"6441101632","6441101632","CALLE 11_AVENIDA 66",-34.929668,-57.938725
"06098003006","06098003006","Esc. 23 - Aº El Pescado",-34.926937,-57.761993
"6441118338","6441118338","AVENIDA 13_CALLE 57",-34.924208,-57.950735
"6274129061","6274129061","RUTA PROVINCIAL 53 80",-34.923972,-58.266260
"6441101619","6441101619","DIAGONAL 78_CALLE 9",-34.923490,-57.942275
"06441001632","06441001632","122 y 80",-34.923275,-57.905365
"06441002013","06441002013","7 y 62",-34.922653,-57.939347
"6441112614","6441112614","AVENIDA 7_CALLE 48",-34.913628,-57.951420
"06441011815","06441011815","60 y 116",-34.913177,-57.933248
"06098005134","06098005134","U.T.N.",-34.905237,-57.925387
"6441128132","6441128132","CALLE 31_CALLE 508",-34.902910,-58.020668
"6441117772","6441117772","AVENIDA 32_CALLE 9",-34.902080,-57.971530
"6441102007","6441102007","AVENIDA 13 Y C526",-34.901302,-57.981787
"6441113856","6441113856","CALLE 526_AVENIDA 7",-34.895333,-57.975665
"6441113076","6441113076","AVENIDA 38_CALLE 121",-34.893425,-57.948625
"6441109653","6441109653","AVENIDA 122_CALLE 36",-34.890350,-57.949725
"6441118319","6441118319","CAMINO GENERAL BELGRANO_CALLE 499",-34.889017,-58.022060
"628114098","628114098","AVENIDA HIPÓLITO YRIGOYEN 20607-20649",-34.887165,-58.390120
"06098002312","06098002312","30 y 161",-34.886563,-57.868150
"6441113910","6441113910","CALLE 3_CALLE 518",-34.885120,-57.980525
"6441113029","6441113029","CAMINO GENERAL BELGRANO_CALLE 476",-34.882797,-58.048553
"6441120964","6441120964","CAMINO GENERAL BELGRANO_CALLE 460",-34.878852,-58.065378
"06098002033","06098002033","Av. Montevideo y 33",-34.877453,-57.854293
"06098002340","06098002340","164 y 19",-34.876695,-57.876080
"6441129619","6441129619","CALLE 497_CALLE 11",-34.876465,-58.012717
"06098006000","06098006000","Av. 7 y 158",-34.875942,-57.893843
"06245002000","06245002000","158 y 4",-34.875367,-57.896172
"6441120340","6441120340","CAMINO PARQUE CENTENARIO_CALLE 491",-34.873568,-58.025805
"06245002210","06245002210","Club YPF",-34.872917,-57.903168
"698107763","698107763","AVENIDA MONTEVIDEO_CALLE 6",-34.866320,-57.888038
"6274115035","6274115035","CALLE 1282 799-899",-34.863362,-58.183905
"6245116104","6245116104","PRESIDENTE PERÓN_SAN MARTÍN",-34.858203,-57.909332
"06245002036","06245002036","Pza. Almirante Brown",-34.853658,-57.914773
"628114088","628114088","6 DE FEBRERO 16077-16099",-34.841082,-58.402745
"628113392","628113392","CAMILA QUIROGA 1-99",-34.831458,-58.380440
"628113246","628113246","JUAN XXIII 2202-2300",-34.831212,-58.416580
"628118556","628118556","ASAMBLEA 1560",-34.828275,-58.402670
"6427132729","6427132729","CALIFORNIA 8300-8398",-34.827018,-58.636535
"6274105655","6274105655","AVENIDA CALCHAQUÍ 5700-5798",-34.825877,-58.224612
"6427125282","6427125282","BRIGADIER GENERAL JUAN MANUEL DE ROSAS 21212-21330",-34.825627,-58.644093
"6427122629","6427122629","CALIFORNIA 8102-8200",-34.824943,-58.639227
"6490104264","6490104264","RECONDO 1199-1299",-34.713662,-58.449287
"6434116627","6434116627","PERGAMINO 1461-1499",-34.713115,-58.373993
"6434103930","6434103930","GUILLERMO GAEBELER 1901-1999",-34.712537,-58.383778
"6427101906","6427101906","GUILLERMO MARCONI 3487",-34.712522,-58.593647
"6441111939","6441111939","RUTA PROVINCIAL 36_.84",-35.019003,-58.003033
"6778dnj067","6778dnj067","AV. PERON Y QUILMES",-35.018127,-58.413657
"6778dnj045","6778dnj045","Av. Indenpendencia y Uruguay",-34.978775,-58.380252
"6441103809","6441103809","AVENIDA 66_CALLE 161",-34.976870,-57.990680
"6441103832","6441103832","AVENIDA 66_CALLE 149",-34.965615,-57.978252
"6441112635","6441112635","CALLE 131_CALLE 84",-34.962672,-57.940182
"6441118091","6441118091","AVENIDA 72_AVENIDA 137",-34.959532,-57.959202
"6441129397","6441129397","AVENIDA 72_AVENIDA 31",-34.953942,-57.953110
"6441112678","6441112678","DIAGONAL 74_AV. 31",-34.953175,-57.952682
"6441112710","6441112710","DIAGONAL 74_CALLE 30",-34.951348,-57.952802
"6441101635","6441101635","CALLE 22_CALLE 80",-34.951298,-57.934987
"6441124807","6441124807","CALLE 75_CALLE 25",-34.950350,-57.943395
"6441133859","6441133859","AVENIDA 520_CALLE 167",-34.947125,-58.044772
"6648dnj147","6648dnj147","Av. Yrigoyen y Australia",-34.945745,-58.377895
"6441107338","6441107338","CALLE 62_CALLE 132",-34.945482,-57.964505
"06134000011","06134000011","Pereda y San Eduardo",-34.941212,-58.616217
"6441103777","6441103777","AVENIDA 66_CALLE 22",-34.940017,-57.950257
"6441109646","6441109646","AVENIDA 7_CALLE 83",-34.939537,-57.916400
"06441001683","06441001683","Av. 66 y 20",-34.938242,-57.948058
"06441001617","06441001617","R.P. 11 y 97",-34.933092,-57.885560
"6260oa6y","6260oa6y","RP N° 58 y Barrio El Lauquen a const",-34.932642,-58.485967
"6329104603","6329104603","AVENIDA COLÓN Y SEMINO",-34.931610,-58.952175
"06098008002","06098008002","44 y 129",-34.931297,-57.876335
"06441003399","06441003399","12 y 64",-34.929025,-57.941922
"6441101407","6441101407","AVENIDA 122_CALLE 85",-34.927750,-57.899642
"06098008020","06098008020","129 y 38",-34.927705,-57.881840
"6441107181","6441107181","AVENIDA 137_CALLE 525",-34.923025,-58.008317
"6441129067","6441129067","AVENIDA 7_CALLE 57",-34.918798,-57.944462
"6441119933","6441119933","AVENIDA 7_CALLE 57",-34.917487,-57.946050
"06441011799","06441011799","54 y 7",-34.916405,-57.946710
"6441130402","6441130402","CALLE 41_CALLE 15",-34.915592,-57.966832
"6270102971","6270102971","CONSTANCIO C. VIGIL 33",-34.915472,-58.590797
"6441107347","6441107347","AVENIDA 1_AVENIDA 60",-34.915357,-57.935870
"6441111949","6441111949","AVENIDA 7_CALLE 47",-34.912850,-57.952468
"06441011814","06441011814","60 y 118",-34.910968,-57.930828
"6441124990","6441124990","DIAGONAL 80_CALLE 4",-34.909767,-57.948887
"6441101642","6441101642","DIAGONAL 80_CALLE 115",-34.903687,-57.949270
"628114087","628114087","SARMIENTO 400-493",-34.892522,-58.389018
"6441127650","6441127650","CAMINO PARQUE CENTENARIO_CALLE 514",-34.890895,-57.995630
"6441109621","6441109621","CAMINO RIVADAVIA_AVENIDA 122",-34.887503,-57.953548
"06098005122","06098005122","Av. Del Petróleo y 145",-34.887155,-57.907013
"6441113900","6441113900","AVENIDA 120_CALLE 528",-34.885860,-57.961307
"6270107234","6270107234","LIBERTADOR SAN MARTÍN 519",-34.884735,-58.561522
"6441112706","6441112706","CAMINO PARQUE CENTENARIO_CALLE 503",-34.881480,-58.008335
"06098002039","06098002039","Av. Montevideo y 37",-34.878545,-57.850100
"6441127932","6441127932","CAMINO GENERAL BELGRANO_CALLE 452",-34.876548,-58.075193
"06098005312","06098005312","13 y 163",-34.873802,-57.883452
"628105866","628105866","AVENIDA HIPÓLITO YRIGOYEN 19400-19498",-34.873402,-58.389480
"06098002013","06098002013","Av. Montevideo y 15",-34.871165,-57.878640
"628110271","628110271","AV. HIPÓLITO YRIGOYEN 19150-19168",-34.869883,-58.389547
"06098002006","06098002006","Pque. Civico",-34.868013,-57.884645
"6441127914","6441127914","CALLE 419_CALLE 25",-34.862907,-58.090082
"628110161","628110161","EMILIO BURGWARD 947",-34.860527,-58.384257
"6427123260","6427123260","AVENIDA MONTECARLO 658-698",-34.843082,-58.644423
"628110225","628110225","AVENIDA TOMÁS ESPORA 4399-4499",-34.837497,-58.382717
"628123148","628123148","INTENDENTE CALLE AMENEDO 35",-34.835513,-58.394557
"628121194","628121194","HUGO DE CARRIL 400-478",-34.834638,-58.377582
"628113244","628113244","JUAN XXIII 2350-2498",-34.832193,-58.418605
"6260103020","6260103020","AVENIDA GENERAL JUAN D. PERÓN 2399-2499",-34.831530,-58.493557
"6441120994","6441120994","CAMINO GENERAL BELGRANO_CALLE 473",-34.881672,-58.053348
